Iterations,Train Error,Test Error
1,71.133,72.857
2,71.159,72.857
3,70.036,71.837
4,70.163,71.837
5,69.908,71.735
6,69.908,71.735
7,71.465,74.184
8,71.465,74.184
9,69.525,72.245
10,69.525,72.245
11,69.525,72.245
12,69.627,72.347
13,72.205,74.898
14,72.18,74.898
15,72.18,74.898
16,72.18,74.898
17,69.347,72.347
18,69.245,72.143
19,69.245,72.143
20,69.245,72.143
21,69.245,72.143
22,65.442,68.163
23,65.442,68.163
24,66.258,68.878
25,66.233,68.878
26,66.233,68.98
27,66.233,68.98
28,66.233,68.98
29,66.233,68.98
30,66.233,68.98
31,71.184,73.469
32,71.184,73.469
33,71.184,73.469
34,71.184,73.469
35,71.057,73.673
36,71.057,73.673
37,71.21,73.571
38,71.159,73.061
39,70.827,72.653
40,70.827,72.653
41,70.852,72.653
42,70.852,72.551
43,70.776,72.857
44,71.695,74.286
45,71.695,74.286
46,71.695,74.286
47,69.934,71.837
48,69.934,71.837
49,69.934,71.837
50,69.934,71.837
51,69.934,71.837
52,69.934,71.837
53,69.934,71.837
54,69.934,71.837
55,69.934,71.837
56,69.908,71.837
57,69.908,71.837
58,69.908,71.837
59,69.908,71.837
60,69.934,72.041
61,70.01,72.041
62,74.477,76.633
63,74.477,76.633
64,74.477,76.633
65,74.477,76.633
66,74.477,76.633
67,74.477,76.633
68,74.477,76.633
69,74.477,76.633
70,74.477,76.633
71,74.477,76.633
72,74.477,76.633
73,74.528,76.633
74,74.528,76.633
75,74.528,76.633
76,74.528,76.633
77,76.059,78.571
78,76.059,78.571
79,76.059,78.571
80,76.085,78.571
81,76.161,78.469
82,76.161,78.469
83,76.187,78.571
84,76.161,78.469
85,76.136,78.469
86,76.161,78.469
87,76.161,78.469
88,76.085,78.469
89,76.085,78.469
90,76.085,78.469
91,76.11,78.571
92,76.11,78.571
93,76.11,78.571
94,76.11,78.571
95,76.11,78.571
96,76.11,78.571
97,74.349,76.122
98,76.085,78.469
99,76.085,78.469
100,76.085,78.469
101,76.085,78.469
102,76.085,78.469
103,76.11,78.571
104,76.11,78.571
105,76.11,78.571
106,76.11,78.571
107,76.11,78.571
108,76.11,78.571
109,76.468,78.776
110,76.11,78.571
111,76.11,78.571
112,76.11,78.571
113,76.11,78.571
114,76.11,78.571
115,78.484,80.612
116,76.11,78.571
117,76.136,78.469
118,76.161,78.571
119,76.008,78.469
120,76.008,78.469
121,76.008,78.469
122,76.008,78.469
123,76.008,78.469
124,74.655,77.551
125,74.63,77.755
126,74.63,77.755
127,76.11,78.571
128,74.63,77.755
129,74.655,77.755
130,74.63,77.755
131,74.63,77.755
132,74.63,77.755
133,74.63,77.755
134,74.63,77.755
135,74.63,77.755
136,90.837,91.02
137,74.63,77.755
138,74.63,77.755
139,74.63,77.755
140,74.63,77.755
141,74.63,77.755
142,75.906,78.673
143,74.681,77.755
144,75.778,78.673
145,76.519,78.878
146,74.681,77.755
147,74.222,77.449
148,76.621,79.694
149,76.646,79.796
150,76.697,80.408
151,74.094,76.939
152,74.094,76.939
153,75.14,77.347
154,75.14,77.347
155,75.14,77.347
156,75.14,77.347
157,75.115,77.245
158,75.115,77.245
159,75.14,77.347
160,75.115,77.245
161,75.115,77.245
162,75.115,77.245
163,75.115,77.245
164,75.268,77.041
165,75.115,77.245
166,75.089,77.245
167,75.166,77.245
168,75.242,77.245
169,75.115,77.245
170,75.115,77.245
171,75.115,77.245
172,75.14,77.245
173,75.115,77.245
174,75.14,77.245
175,75.115,77.245
176,75.115,77.245
177,75.115,77.245
178,75.115,77.245
179,75.115,77.245
180,75.166,77.245
181,75.089,77.245
182,75.089,77.245
183,78.458,79.592
184,75.089,77.245
185,74.579,76.939
186,74.579,76.939
187,74.579,76.939
188,74.655,76.939
189,74.477,76.633
190,76.008,78.571
191,74.477,76.633
192,74.426,76.429
193,74.477,76.633
194,74.477,76.633
195,74.477,76.633
196,74.502,76.837
197,74.477,76.633
198,74.809,76.939
199,74.477,76.633
200,74.426,76.735
201,74.426,76.735
202,74.426,76.735
203,74.426,76.735
204,74.426,76.735
205,74.273,76.429
206,74.273,76.429
207,74.273,76.429
208,74.094,76.837
209,74.273,76.429
210,74.273,76.429
211,74.273,76.429
212,74.273,76.429
213,74.273,76.429
214,74.273,76.429
215,74.273,76.429
216,74.273,76.429
217,74.273,76.429
218,74.273,76.429
219,73.788,77.143
220,93.594,93.571
221,74.273,76.429
222,74.273,76.429
223,74.911,76.939
224,74.273,76.429
225,74.273,76.429
226,74.273,76.429
227,74.834,76.633
228,73.864,76.327
229,73.864,76.327
230,73.583,76.224
231,73.583,76.224
232,73.583,76.224
233,73.583,76.224
234,73.813,76.327
235,73.583,76.224
236,73.583,76.224
237,73.583,76.224
238,73.583,76.224
239,73.583,76.224
240,73.583,76.224
241,73.583,76.224
242,73.583,76.224
243,73.583,76.224
244,73.583,76.224
245,73.583,76.224
246,73.583,76.224
247,73.609,76.224
248,73.609,76.224
249,73.609,76.224
250,73.609,76.224
251,73.609,76.224